유역평균강수3,강우(A지역)3,강우(B지역)3,강우(C지역)3,강우(D지역)3,수위(E지역)3,수위(D지역)3
6.3,7.0,7.0,7.0,8.0,2.5,122.6
6.4,7.0,8.0,7.0,8.0,2.5,122.6
7.3,7.0,9.0,8.0,8.0,2.5,122.6
8.2,7.0,10.0,10.0,10.0,2.5,122.6
11.3,9.0,12.0,10.0,11.0,2.5,122.6
14.4,12.0,14.0,15.0,14.0,2.5,122.6
16.9,14.0,17.0,18.0,16.0,2.5,122.6
20.5,15.0,24.0,20.0,17.0,2.5,122.6
25.8,17.0,33.0,26.0,21.0,2.6,122.5
31.7,20.0,40.0,30.0,27.0,2.6,122.5
37.9,21.0,46.0,32.0,31.0,2.6,122.5
44.1,24.0,51.0,39.0,35.0,2.7,122.5
50.0,34.0,56.0,42.0,44.0,2.7,122.5
52.9,37.0,57.0,44.0,56.0,2.8,122.5
54.6,39.0,58.0,45.0,56.0,3.1,122.5
55.9,41.0,58.0,46.0,56.0,3.5,122.5
57.0,41.0,58.0,48.0,58.0,3.8,122.5
58.2,43.0,58.0,49.0,59.0,4.0,122.6
59.4,44.0,58.0,50.0,60.0,4.2,122.6
60.4,45.0,58.0,50.0,62.0,4.2,122.7
61.0,46.0,58.0,51.0,62.0,4.2,122.7
61.8,46.0,59.0,52.0,63.0,4.2,122.8
62.4,46.0,59.0,49.0,63.0,4.3,122.9
62.8,48.0,59.0,50.0,63.0,4.4,122.9
63.1,48.0,59.0,50.0,63.0,4.5,123.0
62.9,48.0,59.0,51.0,63.0,4.7,123.1
62.7,48.0,59.0,51.0,62.0,5.1,123.2
62.0,48.0,59.0,51.0,61.0,5.3,123.3
61.3,47.0,59.0,51.0,60.0,5.3,123.3
60.6,46.0,59.0,51.0,61.0,5.3,123.4
60.0,46.0,59.0,51.0,61.0,5.3,123.5
59.4,46.0,59.0,51.0,61.0,5.3,123.6
59.2,43.0,59.0,51.0,61.0,5.3,123.7
59.1,42.0,59.0,51.0,61.0,5.2,123.7
