홍수사상번호,연,월,일,시간,유입량
1,2006,7,10,8,189.1
1,2006,7,10,9,216.9519618
1,2006,7,10,10,251.4244187
1,2006,7,10,11,302.812199
1,2006,7,10,12,384.7834064
1,2006,7,10,13,512.5012279
1,2006,7,10,14,701.5026217
1,2006,7,10,15,952.5260535
1,2006,7,10,16,1207.11602
1,2006,7,10,17,1392.018525
1,2006,7,10,18,1454.768513
1,2006,7,10,19,1426.056687
1,2006,7,10,20,1357.36269
1,2006,7,10,21,1293.862205
1,2006,7,10,22,1255.51507
1,2006,7,10,23,1255.977162
1,2006,7,10,24,1299.827525
1,2006,7,11,1,1355.337857
1,2006,7,11,2,1381.703021
1,2006,7,11,3,1352.132424
1,2006,7,11,4,1295.893649
1,2006,7,11,5,1256.268823
1,2006,7,11,6,1265.636588
1,2006,7,11,7,1312.761633
1,2006,7,11,8,1375.505161
1,2006,7,11,9,1437.167338
1,2006,7,11,10,1502.804186
1,2006,7,11,11,1582.91069
1,2006,7,11,12,1676.198585
1,2006,7,11,13,1734.246617
1,2006,7,11,14,1714.092218
1,2006,7,11,15,1641.740554
1,2006,7,11,16,1560.438727
1,2006,7,11,17,1503.816413
1,2006,7,11,18,1467.033586
1,2006,7,11,19,1435.632793
1,2006,7,11,20,1398.298088
1,2006,7,11,21,1356.279548
1,2006,7,11,22,1313.968753
1,2006,7,11,23,1275.609823
1,2006,7,11,24,1244.857022
1,2006,7,12,1,1225.217152
1,2006,7,12,2,1218.195158
1,2006,7,12,3,1217.288567
1,2006,7,12,4,1213.993045
1,2006,7,12,5,1201.361104
1,2006,7,12,6,1178.672607
1,2006,7,12,7,1146.764262
1,2006,7,12,8,1107.417108
1,2006,7,12,9,1066.189518
1,2006,7,12,10,1029.584203
1,2006,7,12,11,1003.59915
1,2006,7,12,12,992.2134611
1,2006,7,12,13,995.5887004
1,2006,7,12,14,1000.635155
1,2006,7,12,15,990.9502939
1,2006,7,12,16,957.4227731
1,2006,7,12,17,920.1060007
1,2006,7,12,18,906.3445727
1,2006,7,12,19,941.8874633
1,2006,7,12,20,1046.101159
1,2006,7,12,21,1236.756525
1,2006,7,12,22,1520.353654
