유역평균강수6,강우(A지역)6,강우(B지역)6,강우(C지역)6,강우(D지역)6,수위(E지역)6,수위(D지역)6
6.4,7.0,7.0,8.0,8.0,2.5,122.6
7.3,7.0,8.0,10.0,10.0,2.5,122.6
8.2,7.0,9.0,10.0,11.0,2.5,122.6
11.3,9.0,10.0,15.0,14.0,2.5,122.6
14.4,12.0,12.0,18.0,16.0,2.5,122.6
16.9,14.0,14.0,19.0,17.0,2.5,122.6
20.5,15.0,17.0,26.0,21.0,2.5,122.6
25.8,17.0,24.0,29.0,27.0,2.5,122.6
31.7,20.0,33.0,31.0,30.0,2.6,122.5
37.9,21.0,40.0,39.0,35.0,2.6,122.5
44.1,24.0,46.0,42.0,43.0,2.6,122.5
50.0,34.0,51.0,44.0,54.0,2.7,122.5
52.9,37.0,56.0,45.0,55.0,2.7,122.5
54.6,39.0,57.0,46.0,56.0,2.8,122.5
55.9,41.0,58.0,48.0,58.0,3.1,122.5
57.0,41.0,59.0,49.0,59.0,3.5,122.5
57.9,43.0,59.0,50.0,60.0,3.8,122.5
58.8,44.0,59.0,50.0,62.0,4.0,122.6
59.1,45.0,59.0,51.0,62.0,4.2,122.6
58.9,46.0,59.0,49.0,63.0,4.2,122.6
59.0,46.0,59.0,48.0,63.0,4.2,122.6
58.9,46.0,59.0,50.0,63.0,4.2,122.6
58.7,48.0,60.0,50.0,63.0,4.3,122.7
58.8,48.0,59.0,51.0,62.0,4.4,122.7
58.8,48.0,59.0,51.0,61.0,4.5,122.7
58.9,48.0,59.0,51.0,60.0,4.7,122.8
58.9,48.0,59.0,51.0,60.0,5.1,122.8
59.0,48.0,59.0,51.0,61.0,5.3,122.9
59.0,47.0,59.0,51.0,61.0,5.3,123.0
59.1,46.0,59.0,51.0,61.0,5.3,123.0
59.1,46.0,59.0,51.0,61.0,5.3,123.1
59.1,46.0,59.0,51.0,61.0,5.3,123.2
58.3,43.0,59.0,51.0,61.0,5.3,123.3
57.7,42.0,59.0,51.0,61.0,5.2,123.3
57.5,42.0,59.0,51.0,61.0,5.2,123.4
57.5,42.0,59.0,51.0,61.0,5.1,123.5
57.5,42.0,59.0,51.0,61.0,5.1,123.6
57.6,42.0,59.0,50.0,61.0,5.1,123.7
57.8,42.0,59.0,48.0,61.0,5.0,123.7
58.1,42.0,59.0,48.0,61.0,5.0,123.8
58.4,42.0,60.0,43.0,61.0,4.9,123.9
58.7,43.0,60.0,40.0,61.0,4.9,124.0
58.9,43.0,60.0,39.0,60.0,4.8,124.1
59.2,43.0,60.0,32.0,59.0,4.8,124.2
59.5,43.0,61.0,28.0,56.0,4.7,124.2
60.0,42.0,61.0,26.0,55.0,4.7,124.3
60.6,42.0,62.0,20.0,54.0,4.6,124.4
61.3,44.0,62.0,18.0,50.0,4.6,124.5
62.8,47.0,62.0,19.0,45.0,4.5,124.6
67.4,50.0,63.0,27.0,45.0,4.5,124.7
73.1,62.0,65.0,26.0,45.0,4.4,124.7
78.5,91.0,70.0,24.0,36.0,4.4,124.8
84.0,107.0,83.0,23.0,26.0,4.3,124.9
84.2,112.0,87.0,22.0,24.0,4.3,125.0
83.3,115.0,88.0,22.0,23.0,4.3,125.1
82.6,118.0,85.0,21.0,21.0,4.2,125.1
81.0,120.0,79.0,20.0,21.0,4.2,125.2
77.4,122.0,73.0,21.0,20.0,4.2,125.3
75.7,145.0,66.0,19.0,19.0,4.2,125.4
74.0,154.0,60.0,19.0,20.0,4.3,125.4
69.1,157.0,57.0,18.0,20.0,4.4,125.5
64.0,157.0,52.0,18.0,20.0,4.6,125.5
