code,target,totpop,region,proplive,sub,bus,numpark,totrent,a15,a20,a30,a40,a50,a60,a70,a80,a100,proprent,numpark_fam,type,pub10,pub50,pub99,gukmin,forever,sanga,happy,A,C,D,E,FMO,G,HI,J,K,L,N,fee_deposit,fee_rent
C2515,205,545,2,0.968807339,0,3,624,545,0,0,0.653211009,0.104587156,0.242201835,0,0,0,0,1,1.144954128,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18433000,149760
C1407,1064,1216,6,0.989309211,1,1,1285,1216,0,0,0.320723684,0.577302632,0.101973684,0,0,0,0,1,1.056743421,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27637000,164610
C1470,553,696,11,0.979885057,0,2,645,696,0,0,0.364942529,0.281609195,0.353448276,0,0,0,0,1,0.926724138,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16821500,117145
C1898,415,566,11,0.98409894,0,6,517,566,0,0,0.478798587,0.369257951,0.151943463,0,0,0,0,1,0.913427562,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16821500,117145
C1244,1804,1722,1,0.994192799,0,10,1483,1722,0,0,0.457607433,0.315911731,0.226480836,0,0,0,0,1,0.861207898,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43990000,304540
C1171,700,624,6,0.979166667,0,5,634,624,0,0,0.567307692,0.368589744,0.064102564,0,0,0,0,1,1.016025641,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35462000,189130
C2073,301,361,0,0.96398892,0,5,288,361,0,0,0.465373961,0.423822715,0.110803324,0,0,0,0,1,0.797783934,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16821000,205460
C2513,820,754,4,0.980106101,0,6,530,754,0,0,0,0,1,0,0,0,0,1,0.702917772,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32443000,192250
C1936,234,240,4,0.966666667,0,10,168,240,0,0,0,0,1,0,0,0,0,1,0.7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32443000,192250
C2049,841,688,0,1,0,5,631,688,0,0,0,0,1,0,0,0,0,1,0.917151163,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15407000,88400
C2202,226,623,0,1,0,2,222,623,0,0,0.142857143,0.857142857,0,0,0,0,0,1,0.356340289,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10244000,152280
C1925,75,601,0,0.985024958,0,4,117,600,0,0.495840266,0.500831947,0,0,0,0.001663894,0,0,0.998336106,0.194675541,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8687000,137655
C2576,73,405,2,0.95308642,0,4,296,405,0,0,0,0.772839506,0.227160494,0,0,0,0,1,0.730864198,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23844000,198600
C1312,359,518,13,0.976833977,0,3,527,517,0,0,0.287644788,0.71042471,0,0,0,0,0,0.998069498,1.017374517,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18707000,126575
C1874,62,619,13,0.996768982,0,2,97,619,0.004846527,0.741518578,0.243941842,0.004846527,0.004846527,0,0,0,0,1,0.156704362,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,7062500,85355
C2650,159,875,7,0.985142857,0,4,616,875,0,0,0.636571429,0.363428571,0,0,0,0,0,1,0.704,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14215000,141630
C2416,63,560,2,1,0,5,154,560,0.001785714,0.644642857,0.346428571,0.003571429,0.001785714,0,0,0,0.001785714,1,0.275,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8830500,115910
