code,tot_pop,region,num_empty,sub,bus,num_park,type_new,prop_type_im1,prop_type_im2,prop_type_im3,prop_type_im4,prop_type_im5,prop_type_im6,prop_type_im7,prop_type_im8,prop_type_im9,prop_type_im10,prop_areaL21,prop_areaL29,prop_areaL36,prop_areaL39,prop_areaL46,prop_areaL59,prop_areaU59,prop_type_qual1,prop_type_qual2,prop_type_qual3,prop_type_qual4,prop_type_qual5,prop_type_qual6,prop_type_qual7,prop_type_qual8,prop_type_qual9,prop_type_qual10,prop_type_qual11,prop_type_qual12,prop_type_qual13,prop_type_qual14,Mlog_fee_deposit,Mlog_fee_rent,target
C2515,545,3,17,0,3,624,0,0,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0.285714286,0.285714286,0.285714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72965309,11.91678929,205
C1407,1216,7,13,1,1,1285,0,0,0,0,0,0,1,0,0,0,0,0,0,0.272727273,0,0.545454545,0.181818182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.13466601,12.01133432,1064
C1945,755,2,6,1,3,734,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.95703006,12.17163647,730
C1470,696,13,14,0,2,645,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.25,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59558288,11.66288519,553
C1898,566,13,9,0,6,517,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.333333333,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59558288,11.66288519,415
C1244,1722,2,10,0,10,1483,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.307692308,0.461538462,0.230769231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.59947289,12.62655772,1804
C1171,624,7,13,0,5,634,0,0,0,0,0,0,1,0,0,0,0,0,0,0.083333333,0.25,0.5,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.38397226,12.15018989,700
C2073,361,1,13,0,5,288,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.5,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.63813866,12.23300665,301
C2513,754,5,15,0,6,530,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29499526,12.16655189,820
C1936,240,5,8,0,10,168,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29499526,12.16655189,234
C2049,688,1,0,0,5,631,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.55033251,11.38962725,841
C2202,623,1,0,0,2,222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14220273,11.93347621,226
C1925,601,1,9,0,4,117,1,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0.166666667,0.666666667,0,0,0,0.166666667,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,16.52900513,11.9929024,75
C2576,405,3,19,0,4,296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.96965619,12.18155955,73
C1312,518,15,12,0,3,527,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74218165,11.74799532,359
C1874,619,15,2,0,2,97,1,0,0,0,0,0,0,0.1,0.9,0,0,0.233333333,0.466666667,0.1,0,0.1,0.1,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,16.68491908,11.76877107,62
C2650,875,8,13,0,4,616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4698083,11.8609733,159
C2416,560,3,0,0,5,154,1,0,0,0,0,0,0,0.2,0.8,0,0,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,16.7162044,11.87080476,63
C2013,595,3,3,0,3,509,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.44955535,10.52835589,91
C1424,625,7,2,0,7,517,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81985563,12.32430003,179
C2100,880,7,4,0,5,736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.03200528,11.51035382,671
C2621,1396,7,26,1,4,277,1,0,0,0,0,0,0,0.444444444,0.555555556,0,0,0,0.222222222,0.5,0,0,0.166666667,0.111111111,0,0,0.444444444,0.555555556,0,0,0,0,0,0,0,0,0,0,16.60457768,11.63751161,133
C2520,970,7,2,0,2,420,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39231247,12.08672589,386
C2319,606,7,1,1,12,548,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6727849,12.37408384,266
C1616,1507,7,1,0,2,407,1,0,0,0,0,0,0,0.136363636,0.863636364,0,0,0,0.045454545,0.045454545,0.590909091,0.045454545,0.136363636,0.136363636,0,0,0.090909091,0.863636364,0.045454545,0,0,0,0,0,0,0,0,0,16.88538456,11.8532809,98
C1704,639,7,34,0,7,162,1,0,0,0,0,0,0,0.117647059,0.882352941,0,0,0,0,0.823529412,0.117647059,0,0,0.058823529,0,0,0.117647059,0.882352941,0,0,0,0,0,0,0,0,0,0,16.67639629,11.93478872,131
C2258,965,7,13,1,3,287,1,0,0,0,0,0,0,0.15,0.85,0,0,0.5,0.1,0.2,0.05,0.05,0.05,0.05,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,16.7351806,11.9680253,78
C1032,946,7,6,1,2,986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.166666667,0.166666667,0.666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.17289537,12.1402533,316
C2038,785,7,7,1,10,150,1,0,0,0,0,0,0,0.15,0.85,0,0,0.5,0.1,0.2,0.05,0.05,0.05,0.05,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,16.57619817,11.94375964,108
