"code","tot_pop","region","num_empty","sub","bus","num_park","Mfee_deposit","Mfee_rent","type_new","prop_type_im1","prop_type_im2","prop_type_im3","prop_type_im4","prop_type_im5","prop_type_im6","prop_type_im7","prop_type_im8","prop_type_im9","prop_type_im10","prop_areaL21","prop_areaL29","prop_areaL36","prop_areaL39","prop_areaL46","prop_areaL59","prop_areaU59","prop_type_qual1","prop_type_qual2","prop_type_qual3","prop_type_qual4","prop_type_qual5","prop_type_qual6","prop_type_qual7","prop_type_qual8","prop_type_qual9","prop_type_qual10","prop_type_qual11","prop_type_qual12","prop_type_qual13","prop_type_qual14","target"
"C2515",545,3,17,0,3,624,18433000,149760,0,0,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0.285714286,0.285714286,0.285714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,205
"C1407",1216,7,13,1,1,1285,27637000,164610,0,0,0,0,0,0,1,0,0,0,0,0,0,0.272727273,0,0.545454545,0.181818182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1064
"C1945",755,2,6,1,3,734,23139000,193230,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,730
"C1470",696,13,14,0,2,645,16821500,117145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.25,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,553
"C1898",566,13,9,0,6,517,16821500,117145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.333333333,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,415
"C1244",1722,2,10,0,10,1483,43990000,304540,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.307692308,0.461538462,0.230769231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1804
"C1171",624,7,13,0,5,634,35462000,189130,0,0,0,0,0,0,1,0,0,0,0,0,0,0.083333333,0.25,0.5,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,700
"C2073",361,1,13,0,5,288,16821000,205460,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.5,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,301
"C2513",754,5,15,0,6,530,32443000,192250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,820
"C1936",240,5,8,0,10,168,32443000,192250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,234
"C2049",688,1,0,0,5,631,15407000,88400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,841
"C2202",623,1,0,0,2,222,10244000,152280,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,226
"C1925",601,1,9,0,4,117,11321500,137655,1,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0.166666667,0.666666667,0,0,0,0.166666667,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,75
"C2576",405,3,19,0,4,296,23844000,198600,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73
"C1312",518,15,12,0,3,527,18707000,126575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,359
"C1874",619,15,2,0,2,97,18360500,141770,1,0,0,0,0,0,0,0.1,0.9,0,0,0.233333333,0.466666667,0.1,0,0.1,0.1,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,62
"C2650",875,8,13,0,4,616,14215000,141630,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,159
"C2416",560,3,0,0,5,154,16515500,126665,1,0,0,0,0,0,0,0.2,0.8,0,0,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,63
"C2013",595,3,3,0,3,509,13930000,37360,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91
"C1424",625,7,2,0,7,517,20173000,225100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,179
"C2100",880,7,4,0,5,736,25096000,100365,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,671
"C2621",1396,7,26,1,4,277,12666500,155535,1,0,0,0,0,0,0,0.444444444,0.555555556,0,0,0,0.222222222,0.5,0,0,0.166666667,0.111111111,0,0,0.444444444,0.555555556,0,0,0,0,0,0,0,0,0,0,133
