code,tot_pop,type_as,region,type_im,area,num_empty,type_qual,fee_deposit,fee_rent,sub,bus,num_park,target
C2515,545,0,3,6,33.48,17,1,9216000,82940,0,3,624,205
C2515,545,0,3,6,39.6,17,1,12672000,107130,0,3,624,205
C2515,545,0,3,6,39.6,17,1,12672000,107130,0,3,624,205
C2515,545,0,3,6,46.9,17,1,18433000,149760,0,3,624,205
C2515,545,0,3,6,46.9,17,1,18433000,149760,0,3,624,205
C2515,545,0,3,6,51.97,17,1,23042000,190090,0,3,624,205
C2515,545,0,3,6,51.97,17,1,23042000,190090,0,3,624,205
C1407,1216,0,7,6,30.95,13,1,15620000,127350,1,1,1285,1064
C1407,1216,0,7,6,30.99,13,1,15620000,127350,1,1,1285,1064
C1407,1216,0,7,6,30.99,13,1,15620000,127350,1,1,1285,1064
C1407,1216,0,7,6,41.11,13,1,27637000,164610,1,1,1285,1064
C1407,1216,0,7,6,41.39,13,1,27637000,164610,1,1,1285,1064
C1407,1216,0,7,6,41.58,13,1,27637000,164610,1,1,1285,1064
C1407,1216,0,7,6,41.58,13,1,27637000,164610,1,1,1285,1064
C1407,1216,0,7,6,46.36,13,1,36048000,198250,1,1,1285,1064
C1407,1216,0,7,6,46.36,13,1,36048000,198250,1,1,1285,1064
C1407,1216,0,7,6,51.24,13,1,42056000,253520,1,1,1285,1064
C1407,1216,0,7,6,51.24,13,1,42056000,253520,1,1,1285,1064
C1945,755,0,2,6,39.72,6,2,15607000,130070,1,3,734,730
C1945,755,0,2,6,39.72,6,2,15607000,130070,1,3,734,730
C1945,755,0,2,6,51.93,6,2,23139000,193230,1,3,734,730
C1945,755,0,2,6,51.93,6,2,23139000,193230,1,3,734,730
C1945,755,0,2,6,59.88,6,2,29209000,244020,1,3,734,730
C1945,755,0,2,6,59.88,6,2,29209000,244020,1,3,734,730
C1470,696,0,13,6,36.55,14,1,12015000,102130,0,2,645,553
C1470,696,0,13,6,36.55,14,1,12015000,102130,0,2,645,553
C1470,696,0,13,6,46.9,14,1,21628000,132160,0,2,645,553
C1470,696,0,13,6,51.93,14,1,25233000,144180,0,2,645,553
C1898,566,0,13,6,36.55,9,1,12015000,102130,0,6,517,415
C1898,566,0,13,6,36.55,9,1,12015000,102130,0,6,517,415
C1898,566,0,13,6,36.62,9,1,12015000,102130,0,6,517,415
C1898,566,0,13,6,46.9,9,1,21628000,132160,0,6,517,415
C1898,566,0,13,6,46.9,9,1,21628000,132160,0,6,517,415
C1898,566,0,13,6,51.93,9,1,25233000,144180,0,6,517,415
C1244,1722,0,2,6,39.62,10,1,29551000,203030,0,10,1483,1804
C1244,1722,0,2,6,39.62,10,1,29551000,203030,0,10,1483,1804
C1244,1722,0,2,6,39.62,10,1,29551000,203030,0,10,1483,1804
C1244,1722,0,2,6,39.72,10,1,29551000,203030,0,10,1483,1804
C1244,1722,0,2,6,46.73,10,1,43990000,304540,0,10,1483,1804
C1244,1722,0,2,6,46.81,10,1,43990000,304540,0,10,1483,1804
C1244,1722,0,2,6,46.81,10,1,43990000,304540,0,10,1483,1804
C1244,1722,0,2,6,46.81,10,1,43990000,304540,0,10,1483,1804
C1244,1722,0,2,6,46.95,10,1,43990000,304540,0,10,1483,1804
C1244,1722,0,2,6,46.95,10,1,43990000,304540,0,10,1483,1804
C1244,1722,0,2,6,51.78,10,1,49854000,338380,0,10,1483,1804
C1244,1722,0,2,6,51.78,10,1,49854000,338380,0,10,1483,1804
C1244,1722,0,2,6,51.95,10,1,49854000,338380,0,10,1483,1804
