code,target,totpop,region,proplive,sub,bus,numpark,totrent,a15,a20,a30,a40,a50,a60,a70,a80,a100,numpark_fam,pub10,pub50,pub99,gukmin,forever,happy,A,C,D,E,FMO,G,HI,J,K,L,N,M20,M30,F50,M50,F100,fee_deposit,fee_rent,older
C2515,205,545,2,0.968807339,0,3,624,545,0,0,0.653211009,0.104587156,0.242201835,0,0,0,0,1.144954128,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,18433000,149760,0.712211155
C1407,1064,1216,6,0.989309211,1,1,1285,1216,0,0,0.320723684,0.577302632,0.101973684,0,0,0,0,1.056743421,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,27637000,164610,0.714037243
C1470,553,696,11,0.979885057,0,2,645,696,0,0,0.364942529,0.281609195,0.353448276,0,0,0,0,0.926724138,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.070322283,0.046595927,0.081407764,0.074382126,0.000158176,16821500,117145,0.727133743
C1898,415,566,11,0.98409894,0,6,517,566,0,0,0.478798587,0.369257951,0.151943463,0,0,0,0,0.913427562,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.070322283,0.046595927,0.081407764,0.074382126,0.000158176,16821500,117145,0.727133743
C1244,1804,1722,1,0.994192799,0,10,1483,1722,0,0,0.457607433,0.315911731,0.226480836,0,0,0,0,0.861207898,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059894048,0.068704398,0.077344944,0.064858538,0.000290351,43990000,304540,0.728907719
C1171,700,624,6,0.979166667,0,5,634,624,0,0,0.567307692,0.368589744,0.064102564,0,0,0,0,1.016025641,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,35462000,189130,0.714037243
C2073,301,361,0,0.96398892,0,5,288,361,0,0,0.465373961,0.423822715,0.110803324,0,0,0,0,0.797783934,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.063157012,0.054321402,0.087266326,0.072177048,0.000318551,16821000,205460,0.722759695
C2513,820,754,4,0.980106101,0,6,530,754,0,0,0,0,1,0,0,0,0,0.702917772,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.066875166,0.064416056,0.07990214,0.067442652,0.000353103,32443000,192250,0.721010872
C1936,234,240,4,0.966666667,0,10,168,240,0,0,0,0,1,0,0,0,0,0.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.066875166,0.064416056,0.07990214,0.067442652,0.000353103,32443000,192250,0.721010872
C2049,841,688,0,1,0,5,631,688,0,0,0,0,1,0,0,0,0,0.917151163,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.063157012,0.054321402,0.087266326,0.072177048,0.000318551,15407000,88400,0.722759695
C2202,226,623,0,1,0,2,222,623,0,0,0.142857143,0.857142857,0,0,0,0,0,0.356340289,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.063157012,0.054321402,0.087266326,0.072177048,0.000318551,10244000,152280,0.722759695
C1925,75,601,0,0.985024958,0,4,117,600,0,0.495840266,0.500831947,0,0,0,0.001663894,0,0,0.194675541,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.063157012,0.054321402,0.087266326,0.072177048,0.000318551,8687000,137655,0.722759695
C2576,73,405,2,0.95308642,0,4,296,405,0,0,0,0.772839506,0.227160494,0,0,0,0,0.730864198,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,23844000,198600,0.712211155
C1312,359,518,13,0.976833977,0,3,527,517,0,0,0.287644788,0.71042471,0,0,0,0,0,1.017374517,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.072622328,0.067302815,0.07929914,0.069167386,0.000219361,18707000,126575,0.71138897
C1874,62,619,13,0.996768982,0,2,97,619,0.004846527,0.741518578,0.243941842,0.004846527,0.004846527,0,0,0,0,0.156704362,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.072622328,0.067302815,0.07929914,0.069167386,0.000219361,7062500,85355,0.71138897
C2650,159,875,7,0.985142857,0,4,616,875,0,0,0.636571429,0.363428571,0,0,0,0,0,0.704,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,14215000,141630,0.741879163
C2416,63,560,2,1,0,5,154,560,0.001785714,0.644642857,0.346428571,0.003571429,0.001785714,0,0,0,0.001785714,0.275,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,8830500,115910,0.712211155
C2013,91,595,2,0.994957983,0,3,509,594,0,0,0.549579832,0.448739496,0,0,0,0,0,0.855462185,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,13930000,37360,0.712211155
C1424,179,625,6,0.9968,0,7,517,624,0,0,0.4288,0.5696,0,0,0,0,0,0.8272,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,20173000,225100,0.714037243
C2100,671,880,6,0.995454545,0,5,736,880,0,0,0,0,1,0,0,0,0,0.836363636,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,25096000,100365,0.714037243
C2621,133,1396,6,0.981375358,1,4,277,1396,0,0.767191977,0.219197708,0,0.01217765,0.000716332,0,0,0.000716332,0.198424069,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,10514000,130715,0.714037243
C2520,386,970,6,0.997938144,0,2,420,960,0,0,0.989690722,0,0,0,0,0,0,0.432989691,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,13155000,177500,0.714037243
C2319,266,606,6,0.998349835,1,12,548,605,0,0,0,0,0.998349835,0,0,0,0,0.904290429,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,17414000,236590,0.714037243
C1616,98,1507,6,0.99933643,0,2,407,1507,0,0.390179164,0.307232913,0.298606503,0.00199071,0,0.00066357,0,0.00132714,0.270072993,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,15418000,90995,0.714037243
C1704,131,639,6,0.946791862,0,7,162,639,0,0,0.998435055,0,0,0,0,0,0.001564945,0.253521127,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,8625000,136630,0.714037243
C2258,78,965,6,0.986528497,0,3,287,965,0.003108808,0.61761658,0.190673575,0.186528497,0.001036269,0,0,0,0.001036269,0.297409326,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,5850500,84750,0.714037243
C1032,316,946,6,0.993657505,1,2,986,946,0,0,0.071881607,0.072938689,0.855179704,0,0,0,0,1.042283298,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,28714000,187260,0.714037243
C2038,108,785,6,0.991082803,1,10,150,785,0.003821656,0.759235669,0.119745223,0.114649682,0.001273885,0,0,0,0.001273885,0.191082803,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,5850500,79980,0.714037243
C1859,116,2424,6,0.999587459,1,4,487,2424,0,0.777640264,0.208333333,0,0.012788779,0,0.000412541,0,0.000825083,0.200907591,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.064246782,0.066847799,0.085750733,0.068819271,0.000298206,34967000,195660,0.714037243
C1722,649,809,0,0.998763906,0,6,264,809,0,0.184177998,0.300370828,0.51421508,0,0,0.001236094,0,0,0.326328801,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.063157012,0.054321402,0.087266326,0.072177048,0.000318551,9984000,138130,0.722759695
